"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DIO3",3.60118034960203e-128,3.86830962568874,0.866,0.115,7.20236069920406e-125
"LOXL4",2.86385638163407e-22,3.86310582381359,0.197,0.05,5.72771276326813e-19
"BASP1",3.77666830124181e-127,3.8584266533648,0.92,0.961,7.55333660248362e-124
"TCHH",5.31923859493892e-105,3.85725127471912,0.757,0,1.06384771898778e-101
"TCF15",1.61343959947391e-91,3.85489522118235,0.701,0,3.22687919894782e-88
"UCP2",2.63396915764356e-41,3.82716960545855,0.933,0.964,5.26793831528712e-38
"LRRC4C",6.95093023338884e-165,3.81090702399201,0.861,0.082,1.39018604667777e-161
"THBS4",3.27114088632312e-93,3.8075488101449,0.861,0.961,6.54228177264624e-90
"C1orf122",1.66878814673612e-41,3.80611797949917,0.71,0.448,3.33757629347223e-38
"MAFB",8.95270848893839e-60,3.7969522764393,0.844,0.961,1.79054169778768e-56
"CLEC2B",1.26881923211277e-37,3.78072993358334,0.73,0.964,2.53763846422554e-34
"SOX9",8.9767707656673e-120,3.76078328436221,0.865,0.097,1.79535415313346e-116
"COTL1",2.30786093723808e-18,3.75223519714635,0.567,0.226,4.61572187447616e-15
"PTGDS",1.44274644399216e-97,3.72098912661373,0.865,0.961,2.88549288798431e-94
"STMN1",1.67386227511136e-157,3.7174186984833,0.972,0.964,3.34772455022272e-154
"PTGS2",3.85278516502961e-97,3.71703397200106,0.867,0.961,7.70557033005922e-94
"CCL7",1.81608158545986e-71,3.70857685218598,0.841,0.961,3.63216317091972e-68
"SV2C",5.21104896394598e-119,3.68956221499102,0.834,0.047,1.0422097927892e-115
"LTA",7.19671165062556e-100,3.68744476749981,0.87,0.961,1.43934233012511e-96
"TNFAIP8L1",1.41897187088361e-83,3.68742177343208,0.848,0.964,2.83794374176721e-80
"RUNX3",1.25941228824771e-45,3.66883289972546,0.745,0.961,2.51882457649542e-42
"HBA2",7.14032014626271e-08,3.66695144799144,0.892,0.961,0.000142806402925254
"S100A9",2.75162975416461e-31,3.64312324992146,0.708,0.961,5.50325950832922e-28
"ADAMTS5",1.74464214302631e-96,3.6402112876621,0.864,0.961,3.48928428605262e-93
"CCL5",1.0845902553809e-72,3.62019636021033,0.618,0.004,2.16918051076181e-69
"SELE",1.45577913781362e-29,3.59380919632277,0.689,0.961,2.91155827562724e-26
"TTN",1.28714973769021e-36,3.58947674667475,0.765,0.939,2.57429947538041e-33
"MYCT1",1.56783021210046e-124,3.57503051430092,0.831,0,3.13566042420091e-121
"MIR155HG",5.33409347889047e-81,3.56276214081587,0.874,0.961,1.06681869577809e-77
"HLA-E",9.55805011435725e-36,3.54892565127058,0.728,0.498,1.91161002287145e-32
"ANK2",1.18395893634742e-17,3.54493690307193,0.368,0.961,2.36791787269483e-14
"PTX3",2.20331631462632e-95,3.54042439077176,0.868,0.964,4.40663262925263e-92
"CXCL13",8.43105726673165e-98,3.52292447806762,0.866,0.961,1.68621145334633e-94
"CCDC28B",4.41197515427133e-73,3.5124004014392,0.853,0.975,8.82395030854266e-70
"MEF2C",1.59677923348971e-72,3.50968432408063,0.939,0.961,3.19355846697941e-69
"TSC2",3.48075752498259e-25,3.49407581567819,0.191,0.147,6.96151504996518e-22
"IL1A",1.50921767820245e-93,3.49078633507764,0.71,0,3.01843535640489e-90
"OGFRL1",8.882440291449e-112,3.49017200249112,0.895,0.961,1.7764880582898e-108
"SPSB1",1.07136135708514e-77,3.47320813951551,0.863,0.344,2.14272271417027e-74
"FGF7",6.6104094500756e-130,3.4552036208692,0.863,0.444,1.32208189001512e-126
