"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD52",9.87247098909737e-204,0.907543160761663,0.028,0.964,1.97449419781947e-200
"SYT1",5.45546120886132e-186,0.906484741587263,0.041,0.961,1.09109224177226e-182
"HLA-DPA1",2.46355416825022e-211,0.905982621362167,0.016,0.961,4.92710833650043e-208
"KITLG",9.75975800492108e-188,0.905752086345843,0.041,0.961,1.95195160098422e-184
"COMMD6",2.61759165795107e-13,0.905567644221954,0.775,0.964,5.23518331590214e-10
"CTSL",6.38208114743712e-09,0.898267114472744,0.387,0.978,1.27641622948742e-05
"IL1A",0.0156023172442799,0.895794722118423,0.021,0,1
"HSPB8",9.37948269609129e-174,0.89442266305835,0.054,0.961,1.87589653921826e-170
"FIS1",0.392376586101527,0.890818571506326,0.536,0.928,1
"S100A13",2.73845552544355e-15,0.889645277611892,0.296,0.466,5.4769110508871e-12
"PLIN3",1.16389610699968e-32,0.887237328670094,0.285,0.982,2.32779221399937e-29
"PDIA6",3.31438025258081e-16,0.886919193721278,0.842,1,6.62876050516162e-13
"RPL39L",1.01415384162352e-178,0.882164637283265,0.06,0.961,2.02830768324705e-175
"IRF1",8.26311285476734e-48,0.881429428244971,0.233,0.964,1.65262257095347e-44
"CALCA",4.76328938212451e-212,0.875997290361511,0.024,0.961,9.52657876424901e-209
"CRABP2",1.85666962989894e-38,0.875262869330749,0.276,0.971,3.71333925979788e-35
"TRAPPC1",0.000137903695571521,0.874509225170844,0.451,0.986,0.275807391143043
"MUM1L1",9.62595600035245e-212,0.870275622794143,0.017,0.961,1.92519120007049e-208
"RBFOX1",1.29453262323857e-178,0.866196039832891,0.005,0.057,2.58906524647713e-175
"JTB",7.86644581656241e-10,0.866090001615025,0.692,0.946,1.57328916331248e-06
"ZBTB16",1.50309143404083e-193,0.858040752744426,0.032,0.964,3.00618286808166e-190
"DHRS7",0.0208041166645206,0.850634078650135,0.477,0.986,1
"BAG3",1.92089846028304e-31,0.841582517877754,0.309,0.975,3.84179692056607e-28
"BCL2A1",2.0073593790525e-214,0.837590965531087,0.029,0.961,4.01471875810501e-211
"PNMT",1.00477213212454e-147,0.834635982287047,0.077,0.961,2.00954426424908e-144
"SPC25",2.77071375220724e-216,0.832042739307633,0.012,0.961,5.54142750441448e-213
"S100A8",0.0266830642719207,0.827688960351406,0.017,0,1
"FAT1",1.34297774372831e-48,0.825969582876319,0.236,0.968,2.68595548745661e-45
"SPCS1",0.0124749914651833,0.824767853351189,0.599,0.957,1
"TMBIM6",6.39102653521526e-23,0.822824275266061,0.887,0.996,1.27820530704305e-19
"COPE",9.23601686763697e-09,0.822666596268194,0.722,0.996,1.84720337352739e-05
"UPP1",9.78340613855015e-37,0.804931899071314,0.277,0.971,1.95668122771003e-33
"DUSP1",1.12636755014312e-09,0.798373024435414,0.478,0.982,2.25273510028624e-06
"IGF1",1.05076916067457e-179,0.796148240421985,0.018,0.835,2.10153832134914e-176
"TMEM230",5.72735260053254e-07,0.788385301265758,0.427,0.978,0.00114547052010651
"COA3",3.34841851294002e-06,0.776387288130304,0.427,0.986,0.00669683702588004
"TFPI2",5.56524307682024e-89,0.773778615843647,0.154,0.961,1.11304861536405e-85
"ARF4",8.20499913615701e-08,0.772511345460402,0.75,0.986,0.00016409998272314
"SNRPD2",4.34513055774841e-08,0.763743652679471,0.75,0.989,8.69026111549683e-05
"WDR83OS",2.03467979278375e-17,0.762066729345929,0.877,0.996,4.0693595855675e-14
"RRAD",1.73416668775959e-72,0.756038541176573,0.199,0.978,3.46833337551917e-69
"MORN5",1.27001738418655e-195,0.752291547185159,0.034,0.961,2.5400347683731e-192
"LMO4",1.51545405180721e-14,0.745106135088398,0.372,0.982,3.03090810361442e-11
"SDF2L1",0.000873868860700276,0.744389851936393,0.386,0.864,1
"FTL",1.53649627382506e-17,0.744251130193331,0.995,1,3.07299254765013e-14
"TSPO",0.0656305500585212,0.739720000181074,0.12,0.581,1
"ARL6IP4",0.00452905009425496,0.736896906197884,0.635,0.939,1
"COX7C",1.29154576281042e-27,0.736593028919922,0.971,1,2.58309152562083e-24
"CXCL9",2.85723136315139e-194,0.728216651467687,0.004,0.817,5.71446272630277e-191
"ETS2",6.50395612533929e-10,0.725399998596056,0.417,0.975,1.30079122506786e-06
"ANXA4",4.04216151235753e-54,0.72265796232587,0.22,0.964,8.08432302471505e-51
"NPNT",1.76902613502768e-82,0.721422932021893,0.176,0.964,3.53805227005536e-79
"NBL1",7.55361900348462e-94,0.71777256537674,0.153,0.964,1.51072380069692e-90
"CST3",4.57904834914909e-21,0.716558621968284,0.947,1,9.15809669829819e-18
"FLRT2",8.27558819316116e-52,0.714401662186033,0.245,0.982,1.65511763863223e-48
"RASGRP3",6.1386915154052e-99,0.707953001012724,0.143,0.971,1.22773830308104e-95
"PCDH7",7.2386691565908e-128,0.70642242683497,0.098,0.964,1.44773383131816e-124
"CENPE",1.38639108087611e-191,0.705462576330899,0.049,0.961,2.77278216175223e-188
"IGSF6",5.43350786701376e-207,0.696299215348521,0.025,0.961,1.08670157340275e-203
"NDUFC1",0.00569601799682451,0.692350260555078,0.688,0.996,1
"KDELR1",4.2314799282825e-12,0.690241188187022,0.808,0.993,8.462959856565e-09
"NHP2",0.00421392001706276,0.685839820558694,0.404,0.692,1
"TIPARP",2.4753300784063e-06,0.680012028529343,0.43,0.978,0.00495066015681261
"EIF1",1.01282525575429e-35,0.675744167005463,1,1,2.02565051150858e-32
"NME1",5.43375288384757e-14,0.673452296722551,0.378,0.968,1.08675057676951e-10
"CALM3",0.292654210544165,0.672392336856416,0.587,0.986,1
"DPM3",1.64717573991411e-13,0.669742555431382,0.385,0.989,3.29435147982823e-10
"TMC6",9.71912102644747e-159,0.661589308763257,0.078,0.961,1.94382420528949e-155
"MIF",0.00146053309760683,0.656652065118745,0.874,1,1
"TMEM14C",0.00190763359848078,0.655079588426573,0.478,0.989,1
"PCBD1",0.000714653695097299,0.654397801303041,0.776,1,1
"TPST2",0.612483155561776,0.653709301034719,0.111,0.523,1
"UQCRFS1",3.21416237919802e-06,0.650277571772814,0.705,0.946,0.00642832475839604
"ERRFI1",1.79381041394523e-07,0.648734653144238,0.464,0.986,0.000358762082789046
"AKR1C3",1.09089293165242e-67,0.646388850258515,0.027,0.219,2.18178586330485e-64
"SHISA6",2.58727832050141e-219,0.642861243542473,0.01,0.961,5.17455664100283e-216
"NDUFB5",3.74954849440305e-11,0.637041939185481,0.395,0.982,7.4990969888061e-08
"ZNF165",1.47371402861248e-30,0.632291447848562,0.289,0.978,2.94742805722495e-27
"RNF187",2.9829704744357e-29,0.631453955835564,0.296,0.975,5.96594094887141e-26
"MFAP5",1.04617236200857e-218,0.626000001847757,0.02,0.961,2.09234472401714e-215
"CD3G",2.78966108553051e-220,0.624514749601805,0.016,0.964,5.57932217106103e-217
"NR0B2",4.64353715875498e-76,0.623940889699572,0.177,0.971,9.28707431750997e-73
"LINC00534",7.07774426602105e-239,0.620688472515561,0.003,0.961,1.41554885320421e-235
"SESN2",4.68265017404109e-17,0.614946765913566,0.167,0.401,9.36530034808217e-14
"TSTA3",0.00068244586365021,0.608046925797343,0.273,0.57,1
"CHCHD2",3.60453390279219e-15,0.607261631816479,0.946,1,7.20906780558439e-12
"LGALS3BP",2.68953432658512e-72,0.604535393628239,0.187,0.982,5.37906865317024e-69
"SAMHD1",9.44823023130274e-165,0.6033454017157,0.055,0.961,1.88964604626055e-161
"COX4I1",4.02994266601499e-17,0.601518829368165,0.942,1,8.05988533202997e-14
"CHN2",6.76390431732525e-153,0.593747636760574,0.068,0.964,1.35278086346505e-149
"CFP",3.59745663746055e-220,0.593026247318943,0.027,0.961,7.19491327492111e-217
"CLEC2B",2.33059137276931e-208,0.592582243586954,0.026,0.964,4.66118274553863e-205
"TTC39C",6.04683306613114e-10,0.587279982779958,0.236,0.767,1.20936661322623e-06
"CD96",4.95295197563857e-126,0.586968963881824,0.014,0.129,9.90590395127715e-123
"CMTM8",3.97253743479629e-19,0.584772122165075,0.348,0.986,7.94507486959258e-16
"CD86",8.86465594780164e-234,0.577411317805694,0.007,0.961,1.77293118956033e-230
"PRDX1",0.0156900864445829,0.571156136198402,0.66,0.989,1
"DIO3",2.77964105435439e-09,0.569059738523168,0.026,0.115,5.55928210870877e-06
"C15orf61",0.160439327453399,0.564697773527625,0.3,0.713,1
"CA1",0.0553823110819257,0.564681945617647,0.013,0,1
"RNF144A",4.52981018128315e-115,0.562514492085195,0.053,0.136,9.05962036256629e-112
"RPL3",1.18738967929972e-20,0.560483212700627,0.999,1,2.37477935859944e-17
"TRIM38",1.44550899496959e-193,0.560010411683594,0.043,0.968,2.89101798993918e-190
"ATF7IP2",0.215052043299196,0.559918218728445,0.164,0.602,1
"ABI3BP",2.53148275566753e-196,0.559351543290496,0.043,0.961,5.06296551133507e-193
"MCTP1",2.65356063912619e-214,0.55900229599931,0.014,0.961,5.30712127825239e-211
"IL7R",3.96525680606264e-205,0.558601382200679,0.038,0.964,7.93051361212527e-202
"SEC61B",1.1662285032617e-12,0.5502602901691,0.953,1,2.3324570065234e-09
"APLNR",1.71120892922126e-79,0.54833664376602,0.013,0.419,3.42241785844253e-76
"PCDH15",1.78799897490508e-211,0.544345834070597,0.022,0.961,3.57599794981016e-208
"ZC3H3",1.25751825474373e-148,0.538239636921905,0.072,0.964,2.51503650948747e-145
"CLDN10",2.11320834851945e-29,0.531232504920335,0.313,0.975,4.2264166970389e-26
"ANXA1",1.99359011947895e-191,0.531057111744869,0.037,0.961,3.9871802389579e-188
"CD81",0.00012684822215012,0.529419413127413,0.823,0.993,0.25369644430024
"NDUFA11",0.0166619055098476,0.523602807902466,0.724,1,1
"MZT2B",0.00297951181495701,0.521388438548343,0.757,0.986,1
"TXNRD1",0.349140431987019,0.520973997470283,0.453,0.803,1
"ATRAID",1.35972957216072e-09,0.514350858728345,0.416,0.993,2.71945914432143e-06
"GREM1",3.49093596952542e-173,0.511109248207501,0.052,0.961,6.98187193905083e-170
"MEDAG",1.78591021947583e-208,0.503898677881405,0.024,0.961,3.57182043895166e-205
"TMEM238",2.02219457097072e-28,0.503568822713886,0.303,0.989,4.04438914194145e-25
"UXT",0.0117260079703119,0.503560949724388,0.454,0.91,1
"BLOC1S1",0.0231663046584161,0.499698085069212,0.454,0.767,1
"GZMB",2.91713751455633e-08,0.494127509059235,0.002,0.043,5.83427502911267e-05
