"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AKR7A2",6.10024790322075e-46,-0.843777492414355,0.429,0.332,1.22004958064415e-42
"CA12",1.06892619667724e-108,-0.84455628054561,0.671,0.04,2.13785239335447e-105
"TXN",1.78032022403769e-22,-0.848613156841197,0.826,0.79,3.56064044807538e-19
"NDUFB10",4.84500101574889e-29,-0.849933605876279,0.704,0.595,9.69000203149778e-26
"PRMT2",2.06269819675588e-36,-0.850337206727754,0.581,0.512,4.12539639351175e-33
"ROMO1",7.32364959277545e-52,-0.855446704273934,0.751,0.755,1.46472991855509e-48
"CCR10",4.59385506272225e-202,-0.85582436813252,0.123,0.036,9.18771012544449e-199
"GUK1",2.15077876005568e-84,-0.859611028848188,0.886,0.878,4.30155752011137e-81
"CALM2",1.02741269928803e-140,-0.860432701402441,0.969,0.983,2.05482539857607e-137
"C19orf53",2.73789609936727e-63,-0.86203408156536,0.814,0.788,5.47579219873454e-60
"LRFN5",6.85876511004046e-277,-0.862714186315346,0.857,0.077,1.37175302200809e-273
"GEM",1.89251905116785e-19,-0.863442331643161,0.832,0.377,3.78503810233569e-16
"AHNAK",1.94065159393888e-125,-0.864328887255803,0.849,0.198,3.88130318787777e-122
"FLRT2",3.91058700171395e-108,-0.864425502358767,0.867,0.245,7.82117400342791e-105
"C1QL1",2.70198048375091e-85,-0.865606460000007,0.305,0.24,5.40396096750181e-82
"NDUFB4",7.69839231654392e-49,-0.868082940871127,0.807,0.74,1.53967846330878e-45
"GCSH",7.73557890078611e-60,-0.869299192720989,0.401,0.334,1.54711578015722e-56
"PRDX3",1.24580575470151e-49,-0.870257212513622,0.484,0.43,2.49161150940302e-46
"NDUFA1",1.24210477806299e-56,-0.871209474503555,0.853,0.804,2.48420955612598e-53
"CSTB",1.21814308211365e-55,-0.871962481021509,0.841,0.79,2.43628616422731e-52
"CNPY2",1.06246792142873e-32,-0.875314104062109,0.715,0.637,2.12493584285745e-29
"ASPM",3.67507332741439e-114,-0.875800023711119,0.663,0.015,7.35014665482877e-111
"COX5B",3.40946291069491e-58,-0.875987174652751,0.82,0.745,6.81892582138981e-55
"FILIP1",1.83246269167581e-217,-0.876478141194264,0.867,0.145,3.66492538335163e-214
"DEFB1",2.77656223525244e-28,-0.877015366455853,0.538,0.016,5.55312447050488e-25
"FAT3",3.64865853929229e-227,-0.877750210559411,0.809,0.063,7.29731707858458e-224
"PDLIM4",0.00618390442772852,-0.879522263069356,0.819,0.464,1
"PDIA6",5.72040444158958e-67,-0.879600354736277,0.799,0.842,1.14408088831792e-63
"FEV",1.67492729779942e-91,-0.880168208985323,0.282,0.196,3.34985459559884e-88
"PCDH17",1.09936012854374e-12,-0.880289875913122,0.601,0.45,2.19872025708748e-09
"VKORC1",7.76888774427137e-28,-0.883202512796513,0.686,0.598,1.55377754885427e-24
"WDR25",1.43265729299066e-135,-0.883431925148277,0.19,0.071,2.86531458598132e-132
"PSMB5",1.46882149727036e-37,-0.886562726644094,0.725,0.67,2.93764299454072e-34
"JSRP1",6.84947333449574e-113,-0.889157354983851,0.243,0.179,1.36989466689915e-109
"SPINK1",2.54213398015571e-06,-0.892062849531678,0.899,0.778,0.00508426796031142
"RGS3",7.60707847710839e-76,-0.893931120775927,0.867,0.271,1.52141569542168e-72
"MXD4",2.24434471402301e-85,-0.896706144041388,0.349,0.327,4.48868942804602e-82
"C6orf48",5.07799373308958e-05,-0.896866832098219,0.527,0.246,0.101559874661792
"CACYBP",2.79443012011051e-21,-0.898475956508998,0.905,0.789,5.58886024022103e-18
"HIGD1A",1.13376002102342e-13,-0.905821134956197,0.582,0.41,2.26752004204683e-10
"COX8A",1.38314558350336e-95,-0.908524528074794,0.921,0.915,2.76629116700673e-92
"TMEM97",1.74006285600799e-134,-0.909476182723088,0.856,0.196,3.48012571201597e-131
"SLC38A4",5.61322767016775e-181,-0.912194883362377,0.145,0.041,1.12264553403355e-177
"NDUFA13",2.56824881433143e-48,-0.915240689618587,0.944,0.838,5.13649762866286e-45
"MPC1",6.81634110859735e-48,-0.920841230437473,0.427,0.336,1.36326822171947e-44
"ITGA6",1.98560197396742e-204,-0.920889997212015,0.855,0.128,3.97120394793485e-201
"MROH8",1.59227115163413e-80,-0.921497543979927,0.258,0.055,3.18454230326826e-77
"CDK2AP2",6.09499379808401e-32,-0.924915356928126,0.852,0.349,1.2189987596168e-28
"RAMP2",4.13538080816039e-45,-0.92703350878255,0.319,0.079,8.27076161632078e-42
"TNFRSF19",1.77666459900498e-61,-0.928743265603678,0.323,0.172,3.55332919800997e-58
"SMDT1",6.03111487541582e-63,-0.929418019621567,0.796,0.76,1.20622297508316e-59
"KRT10",1.22663700918379e-33,-0.929828639957316,0.867,0.779,2.45327401836758e-30
"FFAR2",1.42071558162285e-299,-0.93546010705818,0.063,0.011,2.8414311632457e-296
"HSPH1",0.441940236280471,-0.935988982226031,0.902,0.864,1
"C15orf48",4.16474022988455e-14,-0.936615194035072,0.497,0.297,8.3294804597691e-11
"SRD5A1",7.40923526432041e-48,-0.939316381724105,0.314,0.084,1.48184705286408e-44
"DNAJA4",1.45549167938645e-24,-0.940354770308289,0.869,0.415,2.91098335877291e-21
"S100A16",3.56983981493886e-113,-0.941541231572058,0.864,0.232,7.13967962987773e-110
"KDELR1",8.90660756708356e-69,-0.943733957760366,0.815,0.808,1.78132151341671e-65
"UQCR10",3.09879001157507e-65,-0.945631689387121,0.874,0.797,6.19758002315013e-62
"ODC1",2.23360824888716e-32,-0.945887965783624,0.913,0.797,4.46721649777432e-29
"CRYAB",1.20045908130608e-26,-0.949679323679606,0.356,0.084,2.40091816261216e-23
"FAM3B",6.67436440323038e-98,-0.952681488644745,0.256,0.123,1.33487288064608e-94
"MAGEH1",0.00406365778216265,-0.953371296867895,0.644,0.383,1
"MAEA",1.87570889943051e-08,-0.953673299579263,0.7,0.292,3.75141779886101e-05
