"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SERPINE1",2.51397995091947e-29,3.75647998292835,0.286,0.964,5.02795990183894e-26
"MLF1",1.37724301600884e-26,3.74721815836402,0.708,0.971,2.75448603201768e-23
"GC",4.81944860331515e-21,3.74593322054135,0.17,0.774,9.6388972066303e-18
"SRP9",9.92922410572755e-40,3.74000104615128,0.759,0.971,1.98584482114551e-36
"CADPS",1.20031647904445e-23,3.72782573275206,0.691,0.964,2.4006329580889e-20
"CKB",1.44152031005198e-50,3.70710885692867,0.797,0.971,2.88304062010395e-47
"FFAR4",2.2326019775331e-153,3.70128301691064,0.071,0.961,4.46520395506621e-150
"TMEM233",4.05089946521983e-194,3.69803900274801,0.035,0.961,8.10179893043966e-191
"PPP2R2B",4.87016929502769e-67,3.68799753409587,0.188,0.964,9.74033859005537e-64
"BEX4",1.03984067923894e-38,3.68409322777321,0.757,0.975,2.07968135847787e-35
"SERTAD4-AS1",4.38808152195574e-230,3.67483563252949,0.025,0,8.77616304391149e-227
"AKAP12",1.91495713365357e-09,3.66983978394249,0.612,0.968,3.82991426730715e-06
"KCNK17",5.95816751193999e-43,3.66259844084829,0.245,0.964,1.191633502388e-39
"CHAC1",3.88854434939473e-145,3.64124315766194,0.072,0.086,7.77708869878945e-142
"FOS",2.73127870102577e-34,3.60394473767813,0.85,0.986,5.46255740205155e-31
"TM4SF4",1.13829411778156e-09,3.60139521228414,0.377,0.968,2.27658823556313e-06
"HS3ST1",9.26593855018972e-145,3.58740413361352,0.079,0.961,1.85318771003795e-141
"LRRIQ1",2.0644766485683e-74,3.58566011261251,0.175,0.961,4.12895329713659e-71
"TCEAL3",1.20479804460528e-56,3.58511150260522,0.609,0.466,2.40959608921057e-53
"HAP1",2.86545844276398e-128,3.58492059097333,0.098,0.961,5.73091688552797e-125
"HAX1",9.44123701450568e-27,3.58257436833861,0.366,0.455,1.88824740290114e-23
"NKX6-2",2.99122096159051e-195,3.53337660324185,0.029,0.961,5.98244192318101e-192
"BAMBI",1.90596515157547e-48,3.51910996054357,0.229,0.964,3.81193030315095e-45
"BPGM",9.49074722499961e-40,3.47699328121421,0.263,0.964,1.89814944499992e-36
"RGCC",2.57034087821712e-08,3.47675206323379,0.386,0.964,5.14068175643424e-05
"PCDH9",1.00521186412488e-65,3.46510289128548,0.191,0.961,2.01042372824975e-62
"OGFRL1",2.82554060307464e-66,3.45373699945325,0.19,0.961,5.65108120614927e-63
"CTSB",1.64695733344657e-22,3.45341815644093,0.32,0.444,3.29391466689313e-19
"IL11",2.48826470941116e-48,3.44527803992247,0.248,0.968,4.97652941882232e-45
"KCNT2",2.82554060307464e-66,3.43245974343332,0.19,0.961,5.65108120614927e-63
"DUSP4",1.43531060376422e-20,3.42658332229357,0.212,0.405,2.87062120752844e-17
"PEBP1",5.01608506565553e-71,3.41172070812155,0.792,0.656,1.00321701313111e-67
"SOX4",5.45328239444568e-54,3.3847051960512,0.832,0.982,1.09065647888914e-50
"FNIP2",2.83764990339956e-72,3.38114183021381,0.296,0.219,5.67529980679912e-69
"LRFN5",2.36921748698395e-142,3.37472733373762,0.077,0.961,4.73843497396789e-139
"GRAMD4",4.68868510981179e-164,3.37122440747316,0.077,0.039,9.37737021962358e-161
"CNTNAP4",5.79731070913e-145,3.36497593665638,0.048,0.835,1.159462141826e-141
"CCR10",2.05668238858123e-191,3.35470523722536,0.036,0.014,4.11336477716246e-188
"KRT10",8.019569079152e-63,3.35463166768925,0.779,0.703,1.6039138158304e-59
"FXYD3",2.16832590972182e-38,3.35425063604275,0.468,0.444,4.33665181944365e-35
"ECEL1",1.1002272581014e-115,3.35130932000774,0.11,0.961,2.2004545162028e-112
"TUBA1B",3.66501247302138e-42,3.3493009464025,0.776,0.986,7.33002494604276e-39
"PAPSS2",6.83239706997676e-35,3.33796485774097,0.197,0.333,1.36647941399535e-31
"DIRAS3",7.69907885342067e-08,3.33398181240637,0.392,0.968,0.000153981577068413
"FABP5",3.07179069121736e-28,3.31828661908487,0.734,0.982,6.14358138243473e-25
"SGK1",3.46668879542288e-41,3.31776767483168,0.249,0.961,6.93337759084576e-38
"MIDN",8.72845748782189e-63,3.31775732710912,0.683,0.48,1.74569149756438e-59
"SLC7A2",1.4364268235476e-40,3.31142764159301,0.52,0.47,2.87285364709519e-37
"ETFB",9.77428052080109e-18,3.30799004437702,0.408,0.548,1.95485610416022e-14
