"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CELA3B",6.04878831998031e-24,2.64873187873077,0.341,0.051,1.20975766399606e-20
"THBS1",0,2.64596166285852,0.87,0.077,0
"CD93",1.85782939913397e-303,2.63521614585013,0.822,0.026,3.71565879826795e-300
"CELA2B",0,2.6029441971078,0.849,0.008,0
"TSLP",0,2.60038905412194,0.866,0.028,0
"IL1A",1.27501105952791e-280,2.59499161295922,0.71,0.021,2.55002211905583e-277
"CCL14",2.29573638319044e-122,2.59322144806619,0.43,0.02,4.59147276638089e-119
"SPI1",2.7167361608283e-259,2.5798647537168,0.809,0.022,5.4334723216566e-256
"TOP2A",0,2.57208399249826,0.87,0.018,0
"CTRB2",9.5768567902859e-21,2.56509443191159,0.374,0.163,1.91537135805718e-17
"C5AR1",0,2.53299476396076,0.862,0.025,0
"PART1",8.41171035431882e-243,2.53231605221674,0.109,0.015,1.68234207086376e-239
"FLT1",0,2.52760606693809,0.872,0.032,0
"ZNF804B",0,2.52356445906946,0.771,0.01,0
"C1QA",1.72478176299607e-185,2.50860705508458,0.552,0.017,3.44956352599214e-182
"HIST1H1B",1.38590163088609e-36,2.48397151986796,0.158,0.003,2.77180326177219e-33
"SERTM1",1.69908745140796e-256,2.47950519968004,0.095,0.024,3.39817490281592e-253
"HLA-E",1.28238368490955e-70,2.45855045745991,0.728,0.227,2.5647673698191e-67
"TYMP",0,2.44120499700938,0.876,0.04,0
"SRGN",5.48558802868601e-304,2.43801355860738,0.832,0.037,1.0971176057372e-300
"CELA3A",2.36320317341898e-07,2.41236632922165,0.418,0.157,0.000472640634683796
"REG3G",0,2.41219702672106,0.859,0.021,0
"TRIM38",3.78697850578176e-84,2.41185048524184,0.686,0.043,7.57395701156352e-81
"MIR155HG",0,2.39213947143632,0.874,0.046,0
"ANGPTL2",0,2.39138410391283,0.862,0.027,0
"BCL2A1",0,2.39100940683147,0.86,0.029,0
"VAV3",3.27491262494472e-146,2.38973294355994,0.707,0.024,6.54982524988943e-143
"TNFRSF4",1.63688028410075e-278,2.38724283788268,0.702,0.003,3.2737605682015e-275
"S100A9",6.60419643378266e-182,2.37495031592806,0.708,0.037,1.32083928675653e-178
"LIF",0,2.36829676194061,0.866,0.026,0
"ENG",0,2.35782066939197,0.874,0.045,0
"LGALS3",0,2.35771953380799,0.867,0.051,0
"TCF4",3.63268041555164e-250,2.34684152263867,0.971,0.193,7.26536083110328e-247
"ACKR3",0,2.33860675015247,0.859,0.027,0
"MMP9",6.62000232664884e-251,2.33743411186176,0.767,0.025,1.32400046532977e-247
"SOCS2",2.98437610463723e-289,2.31750702466912,0.886,0.112,5.96875220927445e-286
"MFAP5",0,2.30969715433634,0.864,0.02,0
"ANGPTL4",9.51755943034235e-159,2.28699293724845,0.705,0.009,1.90351188606847e-155
"F2RL3",4.81601731949578e-25,2.28374910556022,0.358,0.02,9.63203463899157e-22
"IGF1",3.90630376721349e-241,2.27326565444991,0.754,0.018,7.81260753442697e-238
"TM4SF18",0,2.26844656973795,0.793,0.021,0
"ALDH1A3",5.42368815317289e-306,2.25832436719941,0.81,0.021,1.08473763063458e-302
"IL7R",0,2.25425844604833,0.891,0.038,0
"LINC00682",7.13464339476726e-34,2.25070958633853,0.149,0.004,1.42692867895345e-30
"LPAR6",0,2.22780508398919,0.869,0.038,0
"SAMSN1",1.36611127337688e-318,2.22210243961482,0.769,0.011,2.73222254675376e-315
"PLAT",0,2.22130105888682,0.867,0.04,0
"MSR1",0,2.2209373527297,0.777,0.002,0
"THBD",1.33787590688952e-314,2.21111003411486,0.839,0.039,2.67575181377903e-311
"KITLG",0,2.2088674330343,0.866,0.041,0
"IRF1",5.48264185650544e-258,2.19591039736958,0.935,0.233,1.09652837130109e-254
"PTX3",0,2.16323881829732,0.868,0.052,0
"TINAGL1",7.06107781038017e-165,2.13519614709376,0.714,0.027,1.41221556207603e-161
"FSTL3",0,2.13345592648924,0.862,0.032,0
"GATA2",0,2.12809122428125,0.864,0.036,0
"CPB1",1.46647131064351e-31,2.1239613001947,0.33,0.078,2.93294262128701e-28
"SERPINI2",0,2.08121776763283,0.861,0.013,0
"PDE4B",0,2.06850225471172,0.889,0.059,0
"ZNF385D",4.55358370257774e-212,2.06502275010769,0.754,0.024,9.10716740515549e-209
"LTA",0,2.06427438435629,0.87,0.027,0
"RUNX3",8.77463093443068e-291,2.06332767015947,0.745,0.032,1.75492618688614e-287
"CTSH",4.85159101457139e-94,2.05173595595457,0.652,0.022,9.70318202914278e-91
"HIST1H2BK",2.46812582328618e-22,2.03941535158649,0.342,0.018,4.93625164657236e-19
"NDUFA4L2",3.27401857972557e-272,2.03087061131818,0.792,0.02,6.54803715945114e-269
"CTHRC1",3.06675025271139e-194,2.03000747758796,0.753,0.033,6.13350050542278e-191
"SOX7",6.24374840666921e-166,2.0218181770938,0.716,0.029,1.24874968133384e-162
"KCNE4",0,2.02178012477111,0.866,0.039,0
"SYNDIG1",1.43175158242066e-06,2.00470079149094,0.488,0.022,0.00286350316484133
"SELE",1.72475713754203e-258,1.99796393894022,0.689,0.025,3.44951427508407e-255
"COL4A1",1.38755372240639e-318,1.98400216303793,0.869,0.076,2.77510744481278e-315
"PRKG1",0,1.9680687101803,0.859,0.04,0
"CSRP2",1.55681800580743e-269,1.96399322071024,0.88,0.118,3.11363601161486e-266
"CPA1",1.91164348545597e-19,1.9628702586334,0.627,0.264,3.82328697091195e-16
"CYBA",1.93540512272233e-273,1.95665025550184,0.95,0.152,3.87081024544467e-270
"COL8A1",0,1.95535921445895,0.849,0.011,0
"ALOX5AP",4.01798610405568e-55,1.93668296580393,0.305,0.036,8.03597220811136e-52
"ENTPD1",1.19352447191174e-11,1.93007648346287,0.052,0.002,2.38704894382348e-08
"DAB2",0,1.9285910997311,0.865,0.025,0
"BDKRB1",0,1.92811557065018,0.863,0.032,0
"ERP27",0,1.92790172462846,0.863,0.017,0
"TGFBR3",1.40199934712357e-199,1.91416899719334,0.749,0.022,2.80399869424713e-196
"AGXT",8.91002007924913e-233,1.9124423221344,0.631,0.003,1.78200401584983e-229
"CACNA2D3",0,1.91013667116419,0.85,0.012,0
"HIST1H2AH",0,1.90395470168794,0.788,0.025,0
"CDH5",3.18514594291875e-215,1.89632461456753,0.61,0.021,6.3702918858375e-212
"ISG15",6.07329234839181e-278,1.89108478724247,0.935,0.142,1.21465846967836e-274
"CHRNA3",1.64600498042945e-34,1.88777324305314,0.153,0.005,3.2920099608589e-31
"CCL22",2.39649091678946e-274,1.88647188077161,0.697,0.012,4.79298183357891e-271
"VIP",9.39539053720759e-211,1.86455466078543,0.588,0.001,1.87907810744152e-207
"CAMK1D",0,1.86325217031367,0.876,0.041,0
"PLAUR",0,1.84893746011163,0.867,0.068,0
"CREB3L1",1.09230780543817e-163,1.84838502746699,0.721,0.028,2.18461561087634e-160
"TCF15",4.34393245807405e-244,1.84726334148241,0.701,0.029,8.6878649161481e-241
"YBX3",5.66161111838517e-215,1.83614723672016,0.953,0.351,1.13232222367703e-211
"NRG1",0,1.83387170982171,0.85,0.048,0
"SLFN5",7.09697164756934e-90,1.81658348063242,0.695,0.071,1.41939432951387e-86
"COL15A1",5.39616985867413e-201,1.816256243024,0.742,0.026,1.07923397173483e-197
"SPC25",6.52581890385429e-205,1.81552951601641,0.125,0.012,1.30516378077086e-201
"PPY",4.75001101138108e-94,1.81252394299729,0.249,0.101,9.50002202276215e-91
"CALCA",1.10135134394151e-280,1.80636268768056,0.716,0.024,2.20270268788302e-277
"MGST1",0,1.79724723918445,0.845,0.014,0
"HMMR",0,1.78295262533435,0.867,0.027,0
"AC007319.1",0,1.77529049071982,0.823,0.018,0
"EMCN",3.09698292211004e-228,1.76912508389149,0.664,0.021,6.19396584422008e-225
"UNC5C",0,1.76589041209343,0.828,0.007,0
"RGS5",6.97449072234197e-219,1.7448155403778,0.764,0.035,1.39489814446839e-215
"DBP",7.178886755074e-93,1.74354492666093,0.229,0.032,1.4357773510148e-89
"CORO1A",2.97861235841194e-280,1.73803937264782,0.864,0.096,5.95722471682387e-277
"CDKN3",0,1.71497549473382,0.867,0.027,0
"CPA2",5.34903408964567e-242,1.71345910009391,0.87,0.143,1.06980681792913e-238
"CXCL3",1.32290207077687e-256,1.71272017252725,0.87,0.165,2.64580414155374e-253
"TYROBP",0,1.70797992755985,0.846,0.012,0
"FGL1",1.14789144121989e-45,1.70695429556217,0.283,0.005,2.29578288243977e-42
"ANXA1",0,1.6955590026774,0.87,0.037,0
"ADAM19",2.90105465925063e-319,1.69318207555224,0.81,0.029,5.80210931850126e-316
"CEBPD",1.93928980942271e-240,1.69202997416905,0.875,0.142,3.87857961884542e-237
"IGSF6",1.15727604402102e-230,1.68865167632459,0.653,0.025,2.31455208804204e-227
"IFI30",0,1.68670080193484,0.876,0.043,0
"TNFSF15",0,1.68191661882301,0.865,0.025,0
"FGL2",3.43301739150277e-221,1.66103172524858,0.616,0.005,6.86603478300554e-218
"PCDH9",1.90840821454754e-212,1.65329455863501,0.939,0.191,3.81681642909507e-209
"BCHE",1.80405625792216e-231,1.64196531098476,0.76,0.008,3.60811251584431e-228
"GPM6A",1.50069009455787e-206,1.63660440258868,0.745,0.024,3.00138018911575e-203
"B2M",1.97916821697041e-81,1.63236653344986,0.997,0.815,3.95833643394081e-78
"PRKAG2-AS1",1.03830988056828e-198,1.61979160363288,0.123,0.01,2.07661976113657e-195
"HSPB6",1.03358533109989e-320,1.61352616794792,0.835,0.039,2.06717066219978e-317
"IL1R1",2.05292575759723e-272,1.60797577529756,0.868,0.107,4.10585151519445e-269
"CLEC14A",1.29520433813275e-271,1.60151872970187,0.696,0.017,2.5904086762655e-268
"ID3",5.34055848674675e-273,1.59906461238602,0.929,0.205,1.06811169734935e-269
