"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NEDD8",1.98152117794949e-10,1.13750741517377,0.797,0.989,3.96304235589898e-07
"S100B",5.32254704766478e-84,1.13498024207365,0.183,0.961,1.06450940953296e-80
"PYURF",2.55215524609026e-11,1.13447485505882,0.738,0.978,5.10431049218052e-08
"ENO1",2.26338568504034e-14,1.13415474090467,0.805,0.986,4.52677137008069e-11
"DCTN3",4.86806229292501e-06,1.12652743305746,0.711,0.989,0.00973612458585001
"MRPL20",0.0151602060925144,1.12415559496816,0.707,0.688,1
"OSGIN1",1.88982005926563e-27,1.12352187412763,0.181,0.1,3.77964011853125e-24
"HIGD1A",0.000211648452490244,1.12008564780878,0.582,0.462,0.423296904980488
"NDUFB3",8.16568851796914e-08,1.11624932212154,0.465,0.986,0.000163313770359383
"AHNAK",1.95487625686761e-40,1.10404988466601,0.849,0.276,3.90975251373522e-37
"HMGB2",2.6795856945128e-28,1.10047130723696,0.906,0.968,5.35917138902559e-25
"MT-CYB",1.89312593832435e-95,1.09995089044705,0.998,0.993,3.78625187664869e-92
"ATP6AP1",0.201148031303706,1.09409060339947,0.629,0.968,1
"HSPH1",1.30113911765007e-86,1.09113448685964,0.902,0.989,2.60227823530014e-83
"C12orf57",3.71365647019746e-19,1.09003521958025,0.785,0.921,7.42731294039493e-16
"GLRX5",7.59671044967319e-10,1.08781813444886,0.718,0.642,1.51934208993464e-06
"PDX1",2.55060341250011e-70,1.08732803903752,0.862,0.961,5.10120682500022e-67
"HNRNPA1",4.04267280057017e-51,1.08258769371709,0.98,0.986,8.08534560114034e-48
"NDUFA2",0.000377356878029569,1.08057948623717,0.663,0.731,0.754713756059138
"EIF5A",5.87605600646479e-19,1.07578790191415,0.915,0.989,1.17521120129296e-15
"MYL6",3.98035143969482e-76,1.07380815284972,0.983,0.996,7.96070287938964e-73
"RNF7",1.47513232983208e-13,1.0733347345463,0.808,0.857,2.95026465966415e-10
"RPS27L",0.000373031441630061,1.0716528527611,0.887,0.814,0.746062883260123
"PDZRN4",1.57802225018571e-28,1.06889378641999,0.696,0.961,3.15604450037142e-25
"ALAS2",5.91665273944135e-48,1.06834324250418,0.361,0.961,1.18333054788827e-44
"COX20",8.14922114942403e-05,1.06617975429291,0.897,0.971,0.162984422988481
"ZNF503",1.29660635608939e-22,1.06072669486964,0.867,0.875,2.59321271217878e-19
"RBFOX1",1.02179015393509e-152,1.05855534625041,0.77,0.057,2.04358030787019e-149
"NFE2L2",2.3405943662222e-26,1.05770032500991,0.901,0.986,4.6811887324444e-23
"OBSCN",1.08246399931175e-68,1.05344259956076,0.856,0.95,2.16492799862351e-65
"COL4A1",1.669306021848e-53,1.04985833070236,0.869,0.961,3.338612043696e-50
"FGL2",1.0297037157963e-12,1.04893066788288,0.616,0.961,2.05940743159261e-09
"SLC9A3R2",2.66172563015918e-16,1.04282987020311,0.369,0.968,5.32345126031836e-13
"CSRP2",3.4369445280309e-48,1.03699784970416,0.88,0.978,6.8738890560618e-45
"PPA1",1.95702115792628e-20,1.03425176848561,0.828,0.921,3.91404231585255e-17
"NUSAP1",1.70525197983572e-45,1.03016209863642,0.862,0.961,3.41050395967144e-42
"NHP2",0.00110558041597943,1.01849135142735,0.696,0.692,1
"TNFSF10",2.65095901162985e-71,1.01604046485311,0.201,0.964,5.3019180232597e-68
"C1QBP",2.18719984249022e-05,1.01004970160498,0.712,0.975,0.0437439968498044
"HSPE1",1.81212824594336e-36,1.00763105048114,0.911,1,3.62425649188672e-33
"RETN",0.00036112933191432,1.00744546570325,0.044,0,0.72225866382864
"CD3G",7.06149813339123e-43,0.997211227924471,0.737,0.964,1.41229962667825e-39
"HIGD2A",7.96969147187017e-08,0.995925752928326,0.72,0.817,0.000159393829437403
"COX8A",4.64135013418772e-50,0.993678942489828,0.921,0.993,9.28270026837543e-47
"TNFRSF1B",2.76335951569088e-08,0.990897756641318,0.715,0.964,5.52671903138175e-05
"SERPINB2",2.45058517279246e-21,0.990005805221225,0.754,0.961,4.90117034558493e-18
"HSBP1",1.83875904654439e-09,0.989543611443288,0.826,0.993,3.67751809308878e-06
"FAT1",4.23772342619148e-36,0.982756894076061,0.867,0.968,8.47544685238296e-33
"SYNE2",6.39888673967425e-32,0.982421999324337,0.879,0.968,1.27977734793485e-28
"NDUFA3",0.186351083237598,0.97598796059885,0.625,0.796,1
"MANF",0.247488543290653,0.975182366680952,0.629,0.982,1
"FKBP4",1.41430767568824e-60,0.974465888213897,0.88,0.964,2.82861535137648e-57
"HBZ",1.58978221651339e-88,0.974073148590442,0.222,0.961,3.17956443302678e-85
"ODC1",2.54144611816575e-15,0.974042066583569,0.913,0.986,5.08289223633151e-12
"PNRC1",6.39628866025799e-16,0.961066326979932,0.932,0.91,1.2792577320516e-12
"IL1R2",0.000130639527858019,0.959549061035222,0.51,0.961,0.261279055716037
"MRPL51",0.0340169273199282,0.956918065555244,0.854,0.989,1
"PSMB1",8.51616004423015e-34,0.956559351399838,0.92,0.993,1.70323200884603e-30
"PRDX1",4.93548790114417e-11,0.954413007491795,0.928,0.989,9.87097580228834e-08
"ZC3H3",9.34312369269731e-25,0.953993476036818,0.815,0.964,1.86862473853946e-21
"GOLT1A",3.59817543416771e-07,0.951840087614701,0.314,0.19,0.000719635086833542
"CALB2",1.53850994897022e-21,0.948008627481055,0.621,0.961,3.07701989794045e-18
"LMO7",0.0269068961010675,0.947600986576783,0.642,0.971,1
"EREG",1.8877315771495e-08,0.941722909542274,0.588,0.961,3.77546315429899e-05
"BAG3",1.14906135034187e-54,0.93970689084195,0.868,0.975,2.29812270068375e-51
"HSPA8",2.29651650205716e-19,0.939344814054842,0.927,0.993,4.59303300411432e-16
"IFITM3",6.13538468866521e-46,0.935422533190611,0.876,0.978,1.22707693773304e-42
"NDUFB10",0.00342450877144822,0.930618654117034,0.704,0.785,1
"SNHG9",2.77152932464784e-07,0.924947215785422,0.82,0.796,0.000554305864929569
"MRPL52",1.15361060932322e-09,0.922388833502132,0.652,0.986,2.30722121864645e-06
"GAPDH",1.8503026268407e-41,0.903203187037461,0.955,1,3.7006052536814e-38
"TRIM16L",3.55740183830174e-38,0.902346340105379,0.764,0.964,7.11480367660348e-35
"CNN1",1.51839363540927e-26,0.89922393219902,0.865,0.961,3.03678727081853e-23
"SAMHD1",0.0986058608741449,0.892731865389099,0.841,0.961,1
"TBC1D22A",4.76582520563039e-97,0.88813873887892,0.229,0.975,9.53165041126078e-94
"HSPD1",1.92982016388507e-24,0.885496111525373,0.926,1,3.85964032777014e-21
"VEGFB",9.93266089739807e-21,0.882811097425751,0.423,0.975,1.98653217947961e-17
"SAMSN1",1.28792055631391e-06,0.878178554336807,0.769,0.961,0.00257584111262783
"SLC4A1",3.27536149323944e-63,0.875413202217141,0.827,0.961,6.55072298647888e-60
